1,No candidate mentioned,1,None of the above,5,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,Unknown,Quito
2,Scott Walker,2,None of the above,26,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…,Unknown,Unknown
3,No candidate mentioned,1,None of the above,27,RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,Unknown,Unknown
4,No candidate mentioned,2,None of the above,138,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …,Texas,Central Time (US & Canada)
5,Donald Trump,2,None of the above,156,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…,Unknown,Arizona
6,Ted Cruz,2,None of the above,228,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",Unknown,Central Time (US & Canada)
7,No candidate mentioned,0,FOX News or Moderators,17,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…,North Georgia,Eastern Time (US & Canada)
8,No candidate mentioned,1,None of the above,0,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,New York NY,Eastern Time (US & Canada)
9,Ben Carson,0,None of the above,0,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",Unknown,Pacific Time (US & Canada)
10,No candidate mentioned,0,None of the above,1,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,Unknown,Unknown
11,Donald Trump,0,None of the above,0,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,"Peoria, IL",Central Time (US & Canada)
12,Mike Huckabee,2,Foreign Policy,188,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV","Fargo, ND",Central Time (US & Canada)
13,No candidate mentioned,0,None of the above,0,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,Unknown,Unknown
14,Jeb Bush,1,Foreign Policy,5,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""","Montgomery, AL",Central Time (US & Canada)
15,Scott Walker,2,None of the above,215,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,"San Diego, California",Pacific Time (US & Canada)
16,Chris Christie,0,None of the above,0,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,Unknown,Central Time (US & Canada)
17,Donald Trump,0,Women's Issues (not abortion though),45,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…,Unknown,Unknown
18,Donald Trump,0,FOX News or Moderators,7,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,Unknown,Mountain Time (US & Canada)
19,No candidate mentioned,0,None of the above,0,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,Unknown,Eastern Time (US & Canada)
20,Mike Huckabee,0,LGBT issues,93,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",NJ,Eastern Time (US & Canada)
21,Ted Cruz,2,None of the above,6,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate","fripp island,sc/ southeast ga",Unknown
22,Donald Trump,0,None of the above,2,RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”,Conspiracy Theoryland,Pacific Time (US & Canada)
23,No candidate mentioned,0,None of the above,404,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,"Lynnwood, WA",Pacific Time (US & Canada)
24,No candidate mentioned,1,None of the above,415,RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce,"Vancouver, Canada",Eastern Time (US & Canada)
25,No candidate mentioned,0,FOX News or Moderators,93,RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…,Unknown,Unknown
26,Marco Rubio,0,None of the above,0,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.","Sydney, New South Wales",Unknown
27,Scott Walker,0,Abortion,19,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…,USA,Unknown
28,No candidate mentioned,0,None of the above,156,"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…",Unknown,Eastern Time (US & Canada)
29,Donald Trump,0,None of the above,2,RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””,Cleveland Texas,Central Time (US & Canada)
30,No candidate mentioned,0,None of the above,4965,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,EveryWhere,Eastern Time (US & Canada)
31,No candidate mentioned,0,None of the above,0,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,"Green Bay, WI",Unknown
